,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,residence_area_type1,sourcing_channel1,premium,renewal_prob,incentives,hours
35722,0.681,17165,225050,0.0,0.0,0.0,97.63,18,1,1,18000,0.2534194727367195,242.9204552274283,4.551807213234655
35777,0.442,18264,135130,0.0,0.0,0.0,99.1,8,1,0,5400,0.5930308673309379,178.09444272715453,3.593270090878926
35830,0.191,19355,127340,0.0,0.0,0.0,98.22,14,1,0,7500,0.6457855787988223,254.482949519412,4.70703955804219
35834,0.157,25924,92540,0.0,0.0,0.0,98.89,10,1,0,3300,0.7310426844962694,130.11350251841537,2.7767763895823783
35841,0.904,15339,68510,0.0,0.0,0.0,99.56,5,1,3,1200,0.3980303681108318,-91.0558830980772,-2.5563284913496154
35893,1.0,11694,63960,1.0,0.0,1.0,99.63,4,0,0,5400,0.09453580953418923,-83.4253791490723,-2.319070894655586
35903,1.0,21184,140880,1.0,2.0,3.0,98.78,8,1,0,7500,0.05164976218989731,-114.41985194289227,-3.311585188201558
35925,1.0,11687,70550,0.0,0.0,0.0,99.85,2,1,0,3300,0.20404560236626587,-50.51318358318609,-1.3460316899627278
35949,1.0,15701,127290,1.0,0.0,1.0,99.66,4,1,3,7500,0.17373900581732157,36.362828933270194,0.8689744055276316
36019,1.0,21546,275060,2.0,1.0,1.0,98.38,8,1,0,11700,0.04945394389019979,-68.77261987388123,-1.8759653907408769
36029,1.0,22278,168120,4.0,1.0,0.0,99.12,11,1,0,5400,0.06638412469285562,-122.82328349014212,-3.5942009587999735
36054,1.0,14972,66150,1.0,1.0,1.0,98.97,5,1,1,7500,0.03339382148477396,-160.08353392101333,-4.921362750903917
36089,0.842,16069,405150,4.0,1.0,1.0,99.0,12,1,2,3300,0.040428491641692446,-219.80222357453948,-7.323962382326359
36131,0.628,19724,120930,0.0,0.0,0.0,99.52,8,0,1,1200,0.5610206268049955,-50.53603413698479,-1.3466798662453683
36138,0.019,20449,324120,0.0,0.0,0.0,97.33,10,0,0,26400,0.6308043401889202,535.0279699544877,7.375172530161285
36140,0.757,12417,105140,1.0,0.0,0.0,97.48,14,0,1,5400,0.1388256041808986,-37.22683625229461,-0.9753536713808697
36187,0.973,15345,130840,2.0,0.0,3.0,99.38,9,1,2,11700,0.13460762429202572,63.77598152112295,1.4737883748217318
36199,0.768,11686,171110,2.0,3.0,0.0,98.85,10,0,2,18000,0.0697176089200725,31.059416377942746,0.7471042919896687
36208,0.373,21911,210710,2.0,0.0,0.0,99.14,23,1,3,26400,0.39115452381056526,416.3798856972135,6.468808396369051
36214,0.011,21915,170970,0.0,0.0,0.0,98.56,19,1,0,11700,0.7380915918247348,375.3618336232806,6.087484533584727
36219,0.415,16432,178570,2.0,1.0,0.0,99.36,8,0,1,13800,0.09926861499562845,43.485973616547184,1.030139187468806
36231,1.0,20815,47310,9.0,0.0,0.0,97.56,9,0,1,5700,0.10791002017534256,-61.48112588105249,-1.6614427434398493
36300,1.0,12057,183120,1.0,2.0,1.0,99.54,12,1,0,7500,0.06808241479931185,-83.3971631032268,-2.318201936631301
36308,0.242,19355,305150,0.0,0.0,0.0,99.06,15,1,3,13800,0.7020788021544866,401.54936670641484,6.335427530702211
36328,0.924,18255,482400,5.0,3.0,0.0,99.51,17,1,2,13800,0.10243487570084328,47.99732131972291,1.1307362382225217
36339,0.62,27753,180030,0.0,0.0,1.0,98.99,14,1,2,5400,0.2374124997381602,34.06590055867551,0.8163902931535827
36346,0.988,14970,248390,0.0,0.0,0.0,99.01,10,0,3,5400,0.4677750120262635,137.6808944280192,2.9121442845442482
36349,0.0,13876,201170,3.0,5.0,0.0,99.76,7,0,1,9600,0.10185153902291484,-2.9893240210932954,-0.07501304928982488
36368,0.838,22636,239520,4.0,3.0,0.0,99.12,10,0,0,11700,0.0990642917460059,20.008470810909543,0.48790719497456614
36370,0.376,22639,7500070,0.0,0.0,0.0,99.85,17,0,0,60000,0.740232852052464,820.3257263811646,8.71369884626736
36378,0.044,15704,212640,0.0,0.0,0.0,98.07,11,1,0,5400,0.6191834676715493,185.70142596980116,3.713958577045985
36445,0.189,16438,190950,1.0,1.0,0.0,99.77,14,1,2,13800,0.20347626748231995,155.4185305946025,3.2195819014247062
36454,0.96,9501,115610,2.0,0.0,0.0,99.43,7,1,0,7500,0.17235455700789074,35.231535765236714,0.8431131848077655
36463,0.047,18986,70030,1.0,0.0,0.0,98.63,11,1,0,7500,0.4647137935969353,193.09778126413107,3.8291250201402347
36464,1.0,13511,450120,0.0,0.0,0.0,99.45,7,1,2,22200,0.5456040953154622,454.5053068431015,6.789836642974098
36504,1.0,11687,93150,0.0,0.0,0.0,99.87,3,0,0,7500,0.24929030759579696,89.66097674327564,2.0080670542801835
36530,0.043,15339,308160,0.0,0.0,0.0,99.0,19,0,2,32700,0.6389772295280802,596.0645005277538,7.746636831687091
36531,0.946,24095,234050,5.0,0.0,0.0,98.29,22,0,2,9600,0.11162340876245797,9.289843757913117,0.2295699391244943
36535,0.865,16796,195090,0.0,0.0,1.0,98.57,19,1,1,7500,0.13623661544462873,2.8790138215430834,0.07171694334487944
36544,0.419,16431,228070,0.0,0.0,0.0,98.54,15,1,2,13800,0.41753753814862843,288.9719052555422,5.144290010607778
36551,0.071,21184,167590,0.0,0.0,0.0,99.07,9,0,0,11700,0.842887738812462,405.645750151383,6.372764754890538
36570,0.387,20090,363570,0.0,0.0,0.0,99.1,14,1,1,18000,0.7202073064025203,471.18598020663006,6.920952972426267
36576,0.877,10965,160910,3.0,0.0,0.0,99.46,7,1,2,7500,0.17518170901792873,37.53434961936462,0.8956782447370226
36581,0.035,20813,300090,2.0,0.0,0.0,99.65,10,1,0,24300,0.5334287507366421,471.1590134466339,6.920745385623393
36590,0.999,20455,111780,4.0,1.0,4.0,99.5,9,0,0,13800,0.072143133296451,-0.5909871378376601,-0.014785598379387643
36612,0.953,17534,187530,0.0,0.0,0.0,99.46,7,1,0,11700,0.5125693089775378,297.1259914428516,5.24227261366562
36624,0.108,14976,216050,0.0,0.0,0.0,99.61,13,0,2,9600,0.8014237017876252,349.80842290818373,5.829382794691266
36630,0.534,12785,105060,1.0,0.0,0.0,97.13,24,1,0,9600,0.19319753077491386,88.42370950270637,1.9833083906096827
36638,0.9,16066,345610,1.0,0.0,0.0,98.98,11,1,3,18000,0.29565649991989235,273.0037534671499,4.946527102890911
36640,1.0,9133,36120,0.0,1.0,0.0,99.85,3,1,0,1200,0.22310226288308974,-153.34717469260883,-4.672177740787116
36657,0.061,17169,105120,2.0,0.0,1.0,98.71,14,1,0,5400,0.19624021196732067,7.781217824419671,0.19265055052651192
36661,0.34,23740,89990,3.0,0.0,0.0,98.54,14,1,0,5400,0.31613661790792513,75.80957857094782,1.7264709548599766
36662,0.88,18989,84070,0.0,0.0,0.0,98.03,12,1,0,5400,0.3491837642766627,90.96712000058378,2.034121016695626
36684,0.144,21182,125420,0.0,0.0,1.0,98.79,13,1,1,5400,0.30541084626362425,70.62976198706893,1.618635846777634
36746,0.836,16437,189110,0.0,0.0,0.0,97.98,20,1,3,11700,0.2848316222605075,185.1144783141047,3.7047278630778213
36748,0.07,14975,190110,0.0,0.0,0.0,99.21,9,0,3,20100,0.8021709015391831,526.5817845665249,7.319158784697324
36751,0.68,17163,270060,4.0,0.0,0.0,99.03,9,0,2,3300,0.18893759598255144,-59.84924843854661,-1.613964544144515
36753,0.842,15700,72080,3.0,0.0,0.0,98.88,7,0,0,5400,0.1702542732718003,-11.104718560002095,-0.28150746040936925
36781,0.063,24834,208620,1.0,1.0,0.0,98.8,16,0,1,18000,0.1553280519501492,154.68771982177847,3.207182571442181
36799,0.014,13145,333120,1.0,0.0,0.0,98.96,16,0,0,15900,0.5142489178525187,363.1848113714587,5.966546065652706
36802,0.292,20449,174050,3.0,0.0,1.0,98.99,15,0,0,5400,0.201330397033739,11.249953579638131,0.27733061315684426
36803,0.886,16068,492320,0.0,0.0,0.0,98.22,16,0,1,47400,0.25299700974890804,452.0756024184294,6.770277930467525
36808,1.0,9870,24030,0.0,0.0,0.0,99.78,4,0,2,1200,0.3303043609810046,-111.90779506858577,-3.2282484975360815
36825,0.863,21546,48080,2.0,1.0,1.0,99.0,9,1,0,1200,0.0746549477807649,-254.29422565307505,-8.884106778797703
36855,0.0,21178,36120,2.0,3.0,0.0,96.44,9,1,0,5700,0.12355648810162273,-44.993347784081614,-1.1905364629183013
36871,0.929,17899,242540,4.0,1.0,0.0,98.96,11,1,0,18000,0.06278531931374291,16.536471858692842,0.4049828835827285
36889,0.883,21543,840060,2.0,0.0,1.0,97.62,27,1,0,57900,0.1330348800242222,350.06489121092756,5.832056015394316
36893,0.33,18621,80130,0.0,0.0,2.0,98.13,10,1,2,3300,0.286730974568869,-7.3267778574201365,-0.18485728836049375
36909,1.0,12423,105100,2.0,0.0,0.0,99.89,6,0,0,7500,0.1864264778687298,46.41943542909288,1.0956804257155894
36958,0.0,12783,480120,8.0,0.0,0.0,98.26,16,1,3,34800,0.2455729269262885,373.0208517302043,6.064519578795526
36986,0.711,24104,702140,1.0,0.0,0.0,99.16,23,1,1,28500,0.3565637753516366,412.6246677711062,6.435501311768787
36995,0.329,10956,24090,0.0,0.0,0.0,98.17,8,1,1,5700,0.6235380244928462,196.6066464200664,3.883020206353951
37019,0.107,12790,300050,0.0,0.0,0.0,99.01,9,0,2,24300,0.7414500352236789,555.8610245180344,7.508381419319282
37070,0.368,17170,375090,0.0,0.0,0.0,99.46,14,0,0,32700,0.7089966483837338,625.0545147252366,7.904171781702622
37079,1.0,14245,64780,0.0,2.0,0.0,99.65,3,0,3,1200,0.07824975709693237,-250.340734864941,-8.698380767841197
37106,0.779,19357,159060,2.0,3.0,1.0,98.5,6,1,0,9600,0.03124494289623766,-141.6648637767712,-4.249862427192809
37117,0.31,16430,600040,1.0,0.0,0.0,99.4,12,1,0,15900,0.46438385380986263,340.885745877095,5.735304734632378
37135,1.0,14614,257570,0.0,2.0,1.0,99.1,5,1,3,20100,0.043729640144583144,-16.958172418099462,-0.4330695315179667
37139,0.984,15342,275050,1.0,2.0,1.0,98.96,7,1,2,28500,0.07821810821896313,117.31144908111624,2.5418568905357333
37152,0.024,23366,168120,0.0,0.0,0.0,99.34,8,0,0,7500,0.9145229992992593,325.11549463548346,5.5638079750791745
37168,0.961,18985,130110,3.0,4.0,0.0,98.09,8,1,2,9600,0.03194377180379742,-139.36180113837767,-4.16805235594953
37180,1.0,11694,41980,1.0,1.0,0.0,98.15,5,0,1,5700,0.10086404106959139,-69.52952250912733,-1.8984590396576162
37182,0.303,21547,120510,0.0,0.0,0.0,98.51,15,0,2,5400,0.5852751788474803,175.7900131657419,3.5562539223316114
37267,0.966,23367,89140,0.0,0.0,0.0,98.97,8,1,0,5400,0.5440373673924639,163.13465931545613,3.349124868671658
37285,0.054,21185,65110,0.0,0.0,0.0,99.32,6,1,0,3300,0.8161013080833166,148.36530702767595,3.0989620665728603
37317,0.953,19352,135150,2.0,0.0,2.0,98.73,28,1,2,7500,0.10206415749207956,-34.606025240215594,-0.9036779191375355
37326,0.008,15341,167430,1.0,0.0,1.0,99.05,10,1,2,7500,0.1320894455299066,-1.2484262114172726,-0.03125941124591858
37367,0.687,16797,314870,0.0,0.0,0.0,98.95,11,1,2,13800,0.47286693812513614,314.62080856460506,5.44587656698
37387,0.33,22638,120140,0.0,0.0,0.0,98.53,10,0,0,11700,0.6493227374826309,347.05738050801943,5.800600068103412
37396,0.315,21180,142810,0.0,0.0,0.0,99.08,11,1,2,5400,0.5994153728796502,179.97446735192574,3.623311462412049
37405,1.0,13146,120140,0.0,4.0,0.0,99.51,3,1,0,5400,0.08458749815331697,-96.12098225559932,-2.7163370494791717
37434,0.356,14614,1350070,0.0,0.0,0.0,99.19,25,1,1,9600,0.6018941297814686,289.5406316160458,5.151189030552235
37444,0.989,20085,116810,3.0,0.0,0.0,99.64,7,1,1,5400,0.14532806774791432,-31.467759407181717,-0.818466028520719
37467,0.315,18623,509570,3.0,0.0,1.0,99.53,15,1,3,5400,0.2639617554085759,49.196421440825766,1.1572842642918646
37494,0.437,17898,129470,0.0,0.0,0.0,98.25,17,0,0,7500,0.41204571484918434,171.87836554579908,3.4929306440115084
37541,0.944,18620,101370,2.0,1.0,1.0,98.83,5,0,0,3300,0.027030100223163447,-254.65624668511623,-8.901205624871002
37551,1.0,18255,174150,1.0,0.0,0.0,99.53,4,0,0,15900,0.27879465472342624,237.46089176923624,4.476935531567273
37556,1.0,12052,36890,1.0,0.0,0.0,95.21,7,1,0,1200,0.14015912855659235,-198.62180546482375,-6.430503991521663
37564,1.0,16073,42120,1.0,1.0,0.0,98.38,7,0,2,5700,0.1098354652479189,-59.35422247335786,-1.5996003992383567
37577,0.005,12054,169020,0.0,1.0,1.0,99.47,10,0,0,5400,0.13647789470109337,-39.35819902678279,-1.0339909047963136
37588,0.926,17532,69050,3.0,0.0,1.0,94.42,16,1,4,3300,0.07866383311197246,-156.47402099864206,-4.787321311682248
37599,1.0,21185,100560,0.0,1.0,1.0,99.89,2,0,2,9600,0.1015153620935447,-3.427786064381829,-0.08606288136772333
37630,0.143,16075,258110,0.0,0.0,0.0,99.22,13,1,1,18000,0.8353261720403838,508.5385219491947,7.195462088078601
37644,0.954,11688,117620,1.0,3.0,1.0,99.69,9,1,0,5400,0.04526215112262397,-162.5279386662229,-5.012826559257371
37654,0.13,9135,90060,2.0,0.0,2.0,99.48,6,1,0,5400,0.18766882455169237,1.7789675934066078,0.04437543860736026
37657,0.011,9868,126130,0.0,0.0,0.0,99.76,5,1,0,3300,0.7857883586347993,142.03356481288466,2.988853912114877
37662,0.679,10590,67650,1.0,0.0,0.0,99.01,6,1,3,1200,0.260958670907213,-137.17214972847682,-4.0907065101040585
37679,0.771,16795,163110,0.0,0.0,0.0,97.81,21,1,1,11700,0.29123894225189356,189.0642772380669,3.7665846061229957
37680,0.815,11695,225120,1.0,0.0,0.0,99.86,4,0,1,13800,0.3844563555121706,272.39301495951753,4.938805333174536
37717,0.366,22641,63040,0.0,0.0,0.0,99.3,5,0,0,5700,0.6847678782886282,213.65547915266012,4.138260543557246
37722,1.0,11691,113790,0.0,2.0,0.0,99.75,7,1,0,7500,0.13816650802854924,4.766495172027965,0.11845520739866777
37731,0.403,13880,126460,1.0,1.0,2.0,99.36,11,0,2,9600,0.05623506400481446,-76.92976132518547,-2.120636506583129
37734,1.0,14247,723060,0.0,0.0,0.0,99.89,4,1,1,47400,0.3949156781444701,566.10511992925,7.571382189715626
37744,0.823,22274,51270,1.0,0.0,0.0,95.36,11,1,1,3300,0.22555556394414894,-38.11858492619829,-0.9998491086578065
37745,0.574,11695,60150,0.0,0.0,0.0,98.84,10,0,1,3300,0.51815055456466,76.05295192962556,1.731503315156282
37768,1.0,27380,192090,1.0,0.0,1.0,99.36,9,1,0,11700,0.1896481025708253,116.56598089805813,2.5279444094405426
37771,0.675,18258,135120,0.0,0.0,0.0,99.29,8,0,0,7500,0.5523281917990143,224.69268181977327,4.297792455088456
37778,0.521,18625,444070,0.0,0.0,0.0,99.24,13,1,2,20100,0.5543546661590978,434.37548695892457,6.624152595589658
37789,0.719,16800,168070,1.0,0.0,1.0,98.95,9,0,1,7500,0.1233149510742078,-10.325138924001923,-0.2614888397733717
37800,0.427,17527,78080,0.0,0.0,0.0,99.76,3,1,0,5400,0.4792069321046703,141.68755791480703,2.982786526021809
37829,0.186,13879,96560,0.0,0.0,0.0,98.91,13,1,3,3300,0.648225238412626,110.72280580787654,2.4179919526109686
37878,0.007,18255,162590,3.0,0.0,0.0,99.8,11,0,0,13800,0.5241997547011903,336.47392153328383,5.688006659645406
37919,1.0,19350,170300,0.0,0.0,0.0,99.81,2,1,0,5400,0.4176966503239155,119.20029245506147,2.5769920297648707
37949,0.578,22638,97940,2.0,0.0,2.0,98.16,16,0,0,5400,0.11172603555444326,-63.7949833406677,-1.7290955190935864
38003,0.0,20085,312090,0.0,1.0,0.0,99.54,6,1,2,18000,0.25483060531399404,243.9841352089957,4.566275801281797
38018,0.869,17167,180070,1.0,0.0,0.0,97.3,13,1,1,13800,0.15650565828551716,112.25056048946725,2.4468953415906345
38036,1.0,10955,174040,0.0,6.0,0.0,99.79,5,0,3,13800,0.13714592529766617,91.5406953075087,2.04553540967928
38057,0.783,18987,273100,1.0,0.0,0.0,99.02,12,1,1,15900,0.35418250232823145,284.3357847555408,5.087683459242274
38064,0.977,18991,194170,4.0,1.0,0.0,98.25,19,0,2,11700,0.06259951562073642,-40.132938558227444,-1.0553827868886367
38077,0.957,11324,91320,0.0,0.0,0.0,97.7,14,1,3,5400,0.2413559426426863,36.39318939166863,0.8696674345331912
38078,0.762,14244,81080,0.0,0.0,0.0,98.68,8,0,3,3300,0.47210273005389514,62.17610052189803,1.439617774321419
38084,0.83,15700,153030,1.0,0.0,0.0,98.51,7,1,1,5400,0.2255150130719309,26.858645754400484,0.6494190168257563
38109,0.0,19357,7038040,4.0,1.0,1.0,99.78,19,1,0,60000,0.20750096179855743,461.2249732091669,6.843314262459509
38140,0.801,12051,87570,1.0,0.0,1.0,99.27,7,0,1,3300,0.09596162681230755,-135.99887194865505,-4.049436284366328
38152,0.982,17531,92820,0.0,0.0,0.0,98.92,10,1,0,7500,0.4156283162665968,173.38462139664176,3.5173878448321236
38157,0.2,10596,300080,1.0,3.0,0.0,99.74,7,1,2,13800,0.21449962894572072,164.43356677587337,3.370687018992935
38200,0.994,23369,125390,2.0,1.0,1.0,98.64,6,1,3,5400,0.036040646152497614,-184.82092341160958,-5.873283318641418
38205,0.983,13878,89360,0.0,0.0,0.0,97.65,11,1,0,1200,0.28553472193579815,-127.66050065868325,-3.7595942529675885
38233,1.0,13879,82320,2.0,1.0,0.0,98.78,5,1,3,3300,0.0734771396245252,-163.3241623397726,-5.042740241641095
38236,0.91,16798,135030,4.0,1.0,0.0,98.58,18,1,0,7500,0.042750457263597316,-134.69416299463998,-4.003684876970281
38267,0.008,11685,69130,0.0,0.0,0.0,99.49,14,1,2,1200,0.7749886247408715,-9.600620730055587,-0.24291907411319702
38314,0.886,12782,126110,0.0,0.0,0.0,97.0,15,1,1,7500,0.2733897899374972,104.02352299853288,2.2899375647649176
38316,0.212,17531,117110,1.0,0.0,1.0,96.01,17,0,3,3300,0.1261368159420905,-106.51031220237941,-3.0509492880184164
38340,0.495,17898,150080,1.0,0.0,0.0,99.32,9,1,2,7500,0.3286849972323126,133.65841177847014,2.840507750756336
38349,0.993,18624,110650,11.0,1.0,1.0,98.67,19,1,0,13800,0.03098086494801212,-103.5386615661561,-2.9543513968963975
38364,0.0,21912,202550,3.0,1.0,2.0,99.22,7,1,0,1200,0.11291858340755725,-218.4088901313358,-7.263722221136016
38380,0.035,20448,254840,0.0,0.0,0.0,99.68,20,1,0,15900,0.8328181437090977,476.453129040895,6.961231695293968
38382,0.193,19359,123150,1.0,4.0,2.0,98.73,9,1,2,9600,0.07579237343968193,-40.95272147865882,-1.07806355555212
38395,0.779,20451,141390,0.0,0.0,0.0,98.54,17,1,2,7500,0.33681267748167626,137.68810677837854,2.9122720836388707
38423,0.748,17532,135040,0.0,0.0,0.0,98.47,9,0,0,5400,0.5031263731522355,149.8422829685002,3.124396747146474
38424,0.555,14974,96350,1.0,1.0,0.0,99.57,5,0,2,5700,0.13213128245202133,-36.645060337383626,-0.9594022833004723
38481,1.0,21550,108110,1.0,2.0,0.0,99.84,2,1,0,7500,0.1549857311739184,20.405259781925373,0.49733825031856305
38494,0.724,16439,85020,1.0,0.0,0.0,98.89,13,0,1,3300,0.23098370823456593,-35.13836121435595,-0.91819862938189
38522,1.0,12421,40690,3.0,3.0,0.0,96.83,10,0,2,5700,0.07038743577296616,-110.57364876016743,-3.184200948464757
38536,1.0,17890,138150,1.0,1.0,0.0,99.65,3,1,0,9600,0.17728502123856135,75.34994224421624,1.716958454294616
38544,0.975,12418,121650,0.0,1.0,0.0,99.25,6,0,0,5400,0.1462478732494733,-30.66951245229916,-0.7968980374981038
38549,0.032,32133,250110,1.0,0.0,0.0,99.87,12,0,0,18000,0.5763749230340922,417.4737808955432,6.4784520877231895
38573,0.678,15701,138030,1.0,0.0,1.0,99.56,10,0,0,9600,0.17925734145938296,77.01794978024145,1.7514269764519297
38588,0.283,14980,242900,1.0,0.0,1.0,99.55,21,1,2,18000,0.2559155435726865,244.79893913346763,4.577333085064624
38600,0.323,18624,87540,2.0,1.0,0.0,98.94,8,0,1,3300,0.11215256654483798,-119.37852479160318,-3.4776317651664
38621,0.188,12060,255060,0.0,0.0,0.0,98.83,12,1,0,11700,0.7169903942059987,368.87610956477266,6.0235286956443925
38622,0.496,10229,71570,0.0,0.0,1.0,98.99,10,0,1,5400,0.24709194896087708,39.72658189368307,0.9454387319699609
38641,0.236,18991,187610,0.0,0.0,0.0,98.67,14,1,1,11700,0.6864767520662318,359.23816868181024,5.926552586423435
38658,0.223,19360,120120,1.0,0.0,1.0,99.43,24,0,0,5400,0.22891758488546954,28.949264379086987,0.6981627720002204
38659,0.998,14977,100980,0.0,4.0,0.0,99.85,4,0,3,1200,0.08086180295993638,-247.5619917700542,-8.568935914791203
38672,0.651,13515,126060,0.0,0.0,0.0,99.4,8,1,0,13800,0.5534675195799651,348.22191233055275,5.81280812578164
38681,0.726,24095,126110,3.0,1.0,1.0,99.39,15,1,1,7500,0.05266673981606776,-112.28608208760215,-3.240764601680244
38706,0.909,13513,120050,0.0,0.0,0.0,97.82,14,0,2,3300,0.2781754283868064,-11.303301286949027,-0.2866130521289456
38731,0.817,20814,136790,0.0,0.0,0.0,98.93,10,1,1,7500,0.48053005413439515,199.11467516247546,3.921254119251394
38740,0.253,21544,225140,0.0,0.0,1.0,99.35,14,0,0,5400,0.3934943047076668,109.65941670537015,2.397808574185487
38747,0.969,18993,93580,0.0,0.0,0.0,98.37,19,1,0,9600,0.28313101475291735,149.91512206730002,3.1256486650189097
38750,0.204,21541,377660,6.0,0.0,1.0,99.64,10,1,0,20100,0.2511893588126208,262.5997197157072,4.81336152993392
38758,0.568,19719,123140,0.0,4.0,0.0,97.41,15,1,0,7500,0.10332089824015113,-33.06497146978353,-0.8617508509081473
38768,0.188,16067,84080,0.0,0.0,0.0,99.87,3,1,0,5400,0.718795678060531,212.63057189663118,4.123221937059091
38801,0.123,19352,81090,1.0,2.0,2.0,99.05,9,0,2,5400,0.1033999065516187,-72.9792923811453,-2.001520186189023
38849,0.97,10234,75110,0.0,0.0,0.0,99.37,10,1,1,1200,0.40246436028305255,-89.79243615232359,-2.516730424636524
38852,0.995,16800,54040,4.0,1.0,0.0,98.67,7,1,0,3300,0.06941650756235718,-168.96699158576834,-5.2564531657725855
38856,1.0,22644,116550,2.0,2.0,1.0,98.49,8,1,0,5400,0.029429199105863117,-203.88791229794612,-6.648246136632389
38868,0.226,10600,36040,2.0,0.0,0.0,98.49,6,1,2,1200,0.2835527219334433,-128.40260636084048,-3.7851456313042853
38881,0.53,13514,87040,0.0,0.0,0.0,99.06,8,1,1,3300,0.5448243085007773,83.66421351851905,1.8873501025934991
38889,0.997,19716,720060,2.0,0.0,0.0,98.33,18,1,0,3300,0.20786901268424035,-48.23724429246574,-1.281657804162275
38913,0.257,11325,99070,1.0,0.0,2.0,99.26,6,0,2,3300,0.11822459750309361,-113.64164778510629,-3.285712536767942
38917,0.226,16796,420120,2.0,0.0,0.0,99.06,21,0,2,32700,0.3602494411350572,447.75219737238154,6.735180102767149
38931,0.168,21545,117110,0.0,0.0,0.0,99.23,11,0,0,5400,0.7671175763584488,224.6914785157967,4.297775301340119
38957,0.352,11330,65480,1.0,0.0,0.0,99.3,6,1,0,3300,0.3340348982193681,13.130470331546858,0.32293244204948834
38973,0.592,14975,227010,0.0,0.0,0.0,98.28,16,1,3,13800,0.30458570971219673,227.42148682072647,4.336560597519653
38988,0.023,19718,124600,0.0,0.0,1.0,99.88,9,1,3,5400,0.37180541539062817,100.7223047304965,2.226042766694917
38989,0.0,26295,429090,0.0,0.0,2.0,99.89,13,0,1,11700,0.40989495386574953,252.56540481039005,4.681604920958301
39011,0.605,21908,207090,1.0,1.0,2.0,98.5,9,1,1,11700,0.04755661659517401,-73.39007724983688,-2.0138516242999316
39017,0.003,15339,280050,4.0,0.0,0.0,99.35,9,1,4,15900,0.39873092714799757,308.5976668019664,5.376782339491605
39035,0.801,18988,126080,2.0,2.0,2.0,97.21,20,0,1,5400,0.02217851813662413,-229.38228098931359,-7.743882266454336
39053,0.612,13880,474040,0.0,0.0,0.0,98.19,20,0,1,36900,0.3122528245162815,442.4070180966843,6.6912596840579575
39069,0.871,20086,225110,1.0,0.0,0.0,98.33,9,1,0,15900,0.2198233898850975,193.602633289106,3.836908554014564
39079,0.428,18995,90050,0.0,1.0,0.0,99.28,8,1,0,5400,0.13992823618404207,-36.235568445390236,-0.9481885582514193
39100,0.789,18256,90150,0.0,0.0,0.0,98.75,25,1,2,5400,0.36947507300741605,99.73863647892729,2.2069017535338875
39102,0.888,23001,64920,1.0,0.0,1.0,98.85,10,1,1,5700,0.13899848783811447,-30.260766996045874,-0.7858707151314159
39108,0.992,14971,90130,4.0,0.0,1.0,99.09,11,1,1,3300,0.08232101010971564,-151.86109004026068,-4.617768628660592
39110,0.0,18625,295530,0.0,0.0,0.0,99.59,9,1,0,13800,0.8545964206451121,448.0247536064703,6.73740396256296
39133,0.023,9863,157300,0.0,1.0,0.0,99.58,13,1,0,5400,0.19841580390754823,9.272231051147381,0.22913972035382368
39139,0.154,14978,270130,1.0,0.0,0.0,98.98,19,0,2,18000,0.41628735207458667,344.06854758973964,5.769104283210671
39142,1.0,11325,93270,1.0,3.0,0.0,99.41,4,0,2,11700,0.06273678426987697,-39.860017305522355,-1.0478422373531227
39176,1.0,18257,224320,0.0,2.0,1.0,99.65,4,0,0,26400,0.08320910131597975,114.95818075365163,2.4978500376456148
39179,0.771,17168,250110,2.0,0.0,0.0,99.28,11,0,1,20100,0.1674680574523773,186.89182794500636,3.732638058460388
39187,0.009,11685,75150,2.0,0.0,0.0,98.95,10,1,1,7500,0.3825314402820579,159.07755777878782,3.2813234139078142
39189,1.0,11324,86440,1.0,1.0,1.0,99.72,6,0,0,3300,0.06042103511895722,-182.4957503526468,-5.781280653530234
39208,0.913,18987,101100,0.0,0.0,0.0,97.63,14,1,0,7500,0.30133640661080596,119.51846904446607,2.5828942504158494
39233,0.897,16802,135090,4.0,0.0,0.0,98.72,12,1,0,15900,0.1544898047961774,133.07383349037835,2.8300368920174765
39265,0.279,11687,67640,0.0,0.0,0.0,98.08,9,0,1,7500,0.6940860458067627,268.6251012952259,4.890904719289541
39275,0.641,17163,37630,0.0,0.0,0.0,96.44,14,1,2,1200,0.340884915280714,-108.43739105521739,-3.1139765101017725
39281,0.057,23004,186110,1.0,0.0,1.0,99.61,9,1,1,7500,0.21770978157918236,69.1382439377154,1.587325117627174
39286,0.909,22635,183110,0.0,0.0,0.0,99.52,12,1,1,11700,0.522512931877185,301.07362877099246,5.288996130624871
39337,0.874,18263,240040,3.0,0.0,1.0,99.01,8,0,2,13800,0.12566183581050494,78.17798641604463,1.7753139397704187
39364,0.393,17526,198140,0.0,0.0,2.0,99.85,7,0,0,24300,0.41434563740908026,410.4692617627999,6.416242114409591
39398,0.837,23735,84480,1.0,0.0,1.0,98.79,16,1,2,3300,0.15212152873596782,-85.35926912100403,-2.378774422594485
39406,0.443,8401,24680,0.0,0.0,0.0,99.73,5,0,0,1200,0.569565024223635,-48.68372051632438,-1.294257314519578
39414,0.447,15701,156120,3.0,1.0,0.0,99.76,12,1,2,11700,0.07604046076156909,-15.386929293146553,-0.39216769558774844
